,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
636,AfD,0.166666666666667,0.653846153846154,0.179487179487179,4,3,2,19109
637,DIE LINKE,0.102564102564103,0.666666666666667,0.230769230769231,5,2,1,19109
638,CDU/CSU,0.296774193548387,0.625806451612903,0.07741935483871,2,4,4,19109
639,FDP,0.212765957446808,0.74468085106383,0.042553191489362,3,1,5,19109
640,SPD,0.318840579710145,0.521739130434783,0.159420289855072,1,5,3,19109
641,BÜNDNIS 90/DIE GRÜNEN,0,0,0,6,6,6,19109
642,AfD,0.223837209302326,0.636627906976744,0.13953488372093,5,4,2,19110
643,DIE LINKE,0.147147147147147,0.630630630630631,0.222222222222222,6,5,1,19110
644,CDU/CSU,0.262953367875648,0.677461139896373,0.059585492227979,4,1,6,19110
645,FDP,0.300859598853868,0.624641833810888,0.074498567335244,1,6,5,19110
646,BÜNDNIS 90/DIE GRÜNEN,0.263940520446097,0.643122676579926,0.092936802973978,2,3,3,19110
647,SPD,0.263001485884101,0.659732540861813,0.077265973254086,3,2,4,19110
648,AfD,0.236139630390144,0.657084188911704,0.106776180698152,4,1,3,19111
649,DIE LINKE,0.199367088607595,0.569620253164557,0.231012658227848,5,6,1,19111
650,CDU/CSU,0.301515151515152,0.646969696969697,0.051515151515152,1,2,6,19111
651,FDP,0.293939393939394,0.636363636363636,0.06969696969697,2,5,5,19111
652,BÜNDNIS 90/DIE GRÜNEN,0.186119873817035,0.643533123028391,0.170347003154574,6,3,2,19111
653,SPD,0.2882096069869,0.637554585152838,0.074235807860262,3,4,4,19111
654,AfD,0.235154394299287,0.660332541567696,0.104513064133017,3,3,2,19112
655,DIE LINKE,0.184696569920844,0.572559366754617,0.242744063324538,6,6,1,19112
656,CDU/CSU,0.330693069306931,0.611881188118812,0.057425742574258,1,5,6,19112
657,FDP,0.224669603524229,0.698237885462555,0.077092511013216,4,2,4,19112
658,BÜNDNIS 90/DIE GRÜNEN,0.198847262247839,0.708933717579251,0.092219020172911,5,1,3,19112
659,SPD,0.303599374021909,0.619718309859155,0.076682316118936,2,4,5,19112
660,AfD,0.208754208754209,0.683501683501684,0.107744107744108,4,2,2,19113
661,DIE LINKE,0.121527777777778,0.638888888888889,0.239583333333333,6,4,1,19113
662,CDU/CSU,0.366942148760331,0.571900826446281,0.061157024793389,1,6,6,19113
663,FDP,0.285714285714286,0.641196013289037,0.073089700996678,3,3,5,19113
664,BÜNDNIS 90/DIE GRÜNEN,0.204545454545455,0.704545454545455,0.090909090909091,5,1,3,19113
665,SPD,0.312655086848635,0.600496277915633,0.086848635235732,2,5,4,19113
666,AfD,0.15,0.758333333333333,0.091666666666667,6,1,4,19114
667,DIE LINKE,0.258426966292135,0.584269662921348,0.157303370786517,3,4,1,19114
668,CDU/CSU,0.285714285714286,0.579365079365079,0.134920634920635,2,5,2,19114
669,FDP,0.257425742574257,0.658415841584158,0.084158415841584,4,3,5,19114
670,BÜNDNIS 90/DIE GRÜNEN,0.199004975124378,0.666666666666667,0.134328358208955,5,2,3,19114
671,SPD,0.355555555555556,0.57037037037037,0.074074074074074,1,6,6,19114
